period,type,volume_mn,volume_billion,value_bn,value_lakh_cr,avg_ticket_inr
FY 2022-23 Q1,quarterly,17401.003,17.4,30392.0867,30.39,1746.57
FY 2022-23 Q2,quarterly,19648.8284,19.65,32522.2254,32.52,1655.17
FY 2022-23 Q3,quarterly,22444.3594,22.44,36842.309,36.84,1641.5
FY 2022-23 Q4,quarterly,24256.9452,24.26,39450.1626,39.45,1626.35
FY 2023-24 Q1,quarterly,27648.3866,27.65,43716.1732,43.72,1581.15
FY 2023-24 Q2,quarterly,31106.3074,31.11,46893.1494,46.89,1507.51
FY 2023-24 Q3,quarterly,34664.3019,34.66,52784.5838,52.78,1522.74
FY 2023-24 Q4,quarterly,37745.6984,37.75,56473.0652,56.47,1496.15
FY 2024-25 Q1,quarterly,41224.9748,41.22,60164.8275,60.16,1459.43
FY 2024-25 Q2,quarterly,44440.3463,44.44,61890.2267,61.89,1392.66
FY 2024-25 Q3,quarterly,48796.9996,48.8,68297.0876,68.3,1399.62
FY 2024-25 Q4,quarterly,51403.7032,51.4,70217.4042,70.22,1366.0
FY 2025-26 Q1,quarterly,54965.8859,54.97,73131.537,73.13,1330.49
FY 2025-26 Q2,quarterly,59109.6869,59.11,74837.0753,74.84,1266.07
FY 2025-26 Q3,quarterly,62802.5645,62.8,81561.3605,81.56,1298.69
FY 2025-26 Q4,quarterly,64738.7407,64.74,84702.5257,84.7,1308.37
FY 2022-23,annual,83751.136,83.75,139206.7837,139.21,1662.15
FY 2023-24,annual,131164.6943,131.16,199866.9716,199.87,1523.79
FY 2024-25,annual,185866.0239,185.87,260569.546,260.57,1401.92
FY 2025-26,annual,241616.878,241.62,314232.4985,314.23,1300.54
Apr 2026,monthly,22346.7962,22.35,29029.8805,29.03,1299.06
May 2026,monthly,23201.9276,23.2,29904.2421,29.9,1288.87
