Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312  ~ 13 Lacs+",Rs 0  ~,0,0,1358312.0,0.0,Post Graduate,Regional
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782  ~ 25 Lacs+","Rs 18,00,000  ~ 18 Lacs+",0,0,2587782.0,1800000.0,Graduate,Regional
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,,,1,1,,,Post Graduate,National
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912  ~ 56 Crore+","Rs 22,46,68,569  ~ 22 Crore+",1,1,568154912.0,224668569.0,Graduate,National
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,"Rs 4,79,83,303  ~ 4 Crore+","Rs 1,43,64,469  ~ 1 Crore+",0,0,47983303.0,14364469.0,12th Pass,Regional
6,Boominathan C,MADURAI,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118  ~ 51 Lacs+",Rs 0  ~,1,1,5176118.0,0.0,Graduate,Regional
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946  ~ 32 Thou+",Rs 0  ~,0,0,32946.0,0.0,Graduate,Independent
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,,,0,0,,,Graduate,Independent
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,"Rs 32,21,200  ~ 32 Lacs+","Rs 17,00,000  ~ 17 Lacs+",1,1,3221200.0,1700000.0,Graduate,Independent
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+",1,1,8408000.0,2000000.0,5th Pass,Regional
12,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,,,0,0,,,Post Graduate,Regional
13,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059  ~ 12 Lacs+",Rs 0  ~,1,1,1274059.0,0.0,Post Graduate,Independent
14,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,0,0,50000.0,0.0,5th Pass,Regional
15,A . Raj,BANGALORE SOUTH,IND,0,Graduate,,,0,0,,,Graduate,Independent
16,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000  ~ 6 Lacs+",Rs 0  ~,0,0,684000.0,0.0,10th Pass,Independent
17,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719  ~ 60 Lacs+","Rs 29,98,008  ~ 29 Lacs+",2,1,6023719.0,2998008.0,Graduate,National
18,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,,,0,0,,,10th Pass,Regional
19,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000  ~ 85 Lacs+","Rs 13,00,000  ~ 13 Lacs+",0,0,8508000.0,1300000.0,Graduate,National
20,A Jayachandran,ARAKKONAM,IND,0,10th Pass,"Rs 16,94,200  ~ 16 Lacs+",Rs 0  ~,0,0,1694200.0,0.0,10th Pass,Independent
21,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
22,A Muthaiah,TENKASI (SC),IND,0,5th Pass,"Rs 66,289  ~ 66 Thou+",Rs 0  ~,0,0,66289.0,0.0,5th Pass,Independent
23,A Nakkeeran,TIRUVANNAMALAI,IND,0,Literate,"Rs 4,01,000  ~ 4 Lacs+",Rs 0  ~,0,0,401000.0,0.0,Below 5th,Independent
24,A Namassivayam,PUDUCHERRY,BJP,0,Others,,,0,0,,,Other,National
25,A Natarajan,VELLORE,Bharatiya Praja Aikyata Party,0,8th Pass,"Rs 1,55,000  ~ 1 Lacs+",Rs 0  ~,0,0,155000.0,0.0,8th Pass,Regional
26,A Palani,ARAKKONAM,IND,0,10th Pass,"Rs 2,75,000  ~ 2 Lacs+",Rs 0  ~,0,0,275000.0,0.0,10th Pass,Independent
27,A Seetha,TENKASI (SC),Bahujan Dravida Party,0,12th Pass,,,0,0,,,12th Pass,Regional
28,A T Munusamy,ERODE,Samaniya Makkal Nala Katchi,0,5th Pass,"Rs 84,73,646  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+",0,0,8473646.0,2000000.0,5th Pass,Regional
